PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,% Inhibition @ 100 uM,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.25 uM,% Inhibition @ 3.13 uM,% Inhibition @ 1.56 uM,% Inhibition @ 0.78 uM,% Inhibition @ 0.39 uM,% Inhibition @ 0.19 uM,Primary Outcome,Primary Screen % Inhibition @ 25 uM,Pilot 10K Screen % Inhibition @ 25 uM Rep 1,Pilot 10K Screen % Inhibition @ 25 uM Rep 2,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
860,85147400,9795907,Active,63,,,,44.99,,1.6,2.14,2.53,82.65,56.25,24.87,0,0,0,0,0.7,0,0,Active,66.23,,,verified
861,85148329,44143716,Active,74,,,,16.72,,3.26,1.17,10.24,68.06,78.51,68.43,54.77,15.2,4.23,0,2.79,0.68,0,Active,32.82,,,verified
862,85148481,44143823,Active,54,,,,66.16,,4.42,3.22,5.72,80.23,27.14,7.73,4.91,2.76,0,8.55,11.86,0,2.06,Active,29.35,,,verified
863,85200969,44202078,Active,56,,,,62.72,,6.14,1,3.76,66.39,37.46,29.62,15.87,14.6,4.71,0,2.72,0,0,Active,40.98,,,verified
864,85201038,44202126,Active,68,,,,30.96,,3.52,4.14,10.65,78.61,93.23,26.14,11.92,10.36,6.34,10.69,4.88,3.38,7.54,Active,53.3,,,verified
865,85268452,6139791,Active,60,,,,51.8,,3.08,1.5,3.35,68.86,52.4,26.8,7.59,0,0,0,2.72,0,4.85,Active,29.46,,,verified
866,85268614,2352364,Active,59,,,,53.73,,10.16,1.49,10.57,55.39,69.11,18.34,0,0,2.69,0,0,0,0,Active,33.87,,,verified
867,85268635,2348410,Active,70,,,,27.66,,3.67,1.75,8.57,77.89,85.09,45.04,9.12,16.58,7.04,6.42,2.09,0,5.49,Active,71.87,,,verified
868,85268743,2344397,Active,64,,,,40.91,,2.98,1.62,4.46,83.72,59.12,25.39,13.8,11.21,9.41,0.68,2.72,0,2.08,Active,35.83,,,verified
869,85269481,1830951,Active,41,,,>,100,,5.54,1.58,2.11,46.8,27.61,7.05,0,2.38,0,0,0,0,0,Active,59.75,,,verified
870,85271120,3940669,Active,69,,,,28.28,,1.38,2.28,3.61,89.72,84.68,38.08,16.56,5.09,2.69,0,0,0,0,Active,45.89,,,verified
871,85271325,1596318,Active,67,,,,35.33,,14.05,12.25,9.58,87.02,98.61,1.41,18.23,8.98,9.86,4.28,5.58,1.35,2.06,Active,33.44,,,verified
872,85271326,1637838,Active,56,,,,61.55,,7.17,5.6,10.14,94.95,23.07,10.54,12.62,11.74,9.86,4.99,4.19,16.23,4.8,Active,31.86,,,verified
873,85272355,5281605,Active,67,,,,35.06,,3.05,1.93,5.89,87.48,70.57,28.24,16.13,2.76,11.27,5.7,8.37,0.68,0.69,Active,61.8,,,verified
874,85272550,24867632,Active,65,,,,38.96,,2.92,4.05,6.9,81.59,76.88,11.24,2.1,0,3.52,2.14,1.4,6.09,6.17,Active,32.61,,,verified
875,85274146,6603104,Active,41,,,>,100,,21.49,1.21,1.87,31.59,19.68,4.92,6.31,0,0,0,0,0,0,Active,98.82,,,verified
876,85301868,16655918,Active,64,,,,42.51,,4.26,4.42,9.76,74.63,72,1.41,9.12,1.38,0,8.55,0,0,0,Active,29.3,,,verified
877,85301873,44263518,Active,64,,,,42.89,,3.42,3.34,7.13,83.06,68.06,7.73,7.01,0.69,7.75,0,10.46,0,2.74,Active,33.2,,,verified
878,85301876,44263521,Active,68,,,,32.88,,2.46,2.98,6.27,87.43,82.24,27.68,8.41,0,7.75,4.28,9.07,4.06,4.11,Active,29.12,7.37,11.56,verified
879,85301880,44263525,Active,67,,,,33.96,,2.2,4.63,5.94,84.49,87.26,18.97,0,0,2.82,5.7,4.19,0,0.69,Active,43.82,,,verified
880,85301881,44263526,Active,64,,,,41.4,,2.52,3.54,5.53,83.19,70.57,10.54,0,0,0,0,3.49,6.09,0,Active,39.32,,,verified
881,85301882,44263527,Active,66,,,,36.5,,2.95,3.43,7.11,89.78,77.76,18.27,9.12,0,4.23,9.98,10.46,6.76,4.11,Active,36.85,,,verified
882,85301884,44263528,Active,64,,,,41.18,,3.08,1.78,4.84,79.26,65.42,21.86,11.73,11.21,0,2.72,0,2.06,0,Active,32.55,,,verified
883,85301888,44263532,Active,65,,,,38.79,,3.94,3.19,8.74,88.96,72.06,17.56,2.8,5.53,7.04,12.12,11.16,10.15,10.29,Active,32.55,,,verified
884,85301898,16656440,Active,65,,,,39.85,,2.24,2.61,4.44,94.72,61.67,26.09,0,3.06,4.03,1.36,4.08,8.26,1.39,Active,28.65,,,verified
885,85301899,44263542,Active,66,,,,37,,1.56,4.14,3.87,87.75,79.53,15.46,0,0,0,0,0.7,0,0,Active,39.84,14.74,10.34,verified
886,85301901,44263544,Active,65,,,,39.64,,4.02,3.98,9.39,73.85,77.15,9.13,0,0,6.34,0,0,3.38,6.17,Active,31.9,,,verified
887,85301915,44263556,Active,64,,,,42.29,,4.06,3,8.15,83.37,67.92,11.94,3.51,4.84,5.64,0.71,4.19,15.56,8.23,Active,31.9,,,verified
888,85301921,44263562,Active,63,,,,43.43,,1.67,3.17,3.36,86.46,64.43,11.99,0,0,0,0,1.36,0,4.16,Active,35.94,,,verified
889,85301926,44263566,Active,66,,,,36.98,,2.65,2.63,5.68,80.26,75.34,24.68,0.69,0,0,4.76,0,0,0,Active,31.77,9.21,6.69,verified
890,85302717,597363,Active,65,,,,38.04,,4.84,1.6,7.75,77.76,62.9,39.84,4.91,0,13.38,6.42,3.49,8.12,7.54,Active,35.39,,,verified
891,85304247,1010988,Active,59,,,,54.79,,2.46,2.3,3.3,83.66,40.57,16.93,5.52,5.09,0.67,3.4,0,3.44,0,Active,31.38,,,verified
892,85304564,2918507,Active,69,,,,28.66,,2.55,2.35,6.69,82.97,84.68,41.87,7.01,10.36,0,8.55,2.79,3.38,0,Active,60.22,,,verified
893,87335434,235598,Active,57,,,,60.47,,4.55,1.6,4.29,66.59,45.67,19.75,4.14,0,2.69,0,7.48,6.19,4.16,Active,39.49,,,verified
894,87335448,235857,Active,65,,,,39.4,,5.92,0.94,6.34,61.61,56.12,50.94,27.84,9.67,1.41,0.71,0,0,2.06,Active,70.3,,,verified
895,87335613,237102,Active,78,,,,6.33,,0.79,1.64,7.86,100,100,86.39,85.3,43.67,16.14,21.08,10.2,4.82,8.31,Active,105.13,,,verified
896,87335718,237490,Active,77,,,,9.15,,1.91,1.34,11.88,78.32,77.11,84.56,77.43,28.66,10.08,9.52,9.52,1.38,11.09,Active,59.67,,,verified
897,87336081,238781,Active,73,,,,17.73,,3.62,1.35,11.59,70.14,74.3,79.95,41.23,6.22,4.23,4.28,4.19,0,6.17,Active,83.45,,,verified
898,87336099,105671,Active,62,,,,45.7,,4.22,1.79,5.93,83.63,52.52,23.19,7.01,15.89,4.93,5.7,4.88,0,4.11,Active,67.06,,,verified
899,87336285,239577,Active,73,,,,19.59,,2.37,0.96,5.64,78.61,72.13,51.36,51.75,21.42,10.57,2.85,6.28,3.38,0,Active,73.57,,,verified
900,87337053,3500086,Active,58,,,,57.5,,7.63,2.02,8.97,64.8,59.31,0,4.21,5.53,0,0,0,0,0,Active,30.25,,,verified
901,87342392,5791841,Active,78,,,,6.89,,1.34,1.07,9.81,78.35,80.41,83.12,67.74,62.86,19.02,10.69,10.46,2.03,0.69,Active,86.03,,,verified
902,87342865,9550553,Active,69,,,,29.6,,5.8,1.71,12.49,100,49.4,64.15,9.12,0,0,4.28,0,4.73,5.49,Active,34.51,,,verified
903,87344440,135472807,Active,41,,,>,100,,18.68,1.13,3.73,43.76,27.14,8.43,13.32,0.69,2.11,0.71,4.19,0.68,4.11,Active,28.85,,,verified
904,87345402,660118,Active,70,,,,27.41,,2.08,2.4,5.77,100,85.89,37.38,17.25,15.28,0,0,0,0,0,Active,31.47,,,verified
905,87347760,5105556,Active,58,,,,57.54,,6.84,1.04,4.9,60.73,47.02,36.6,15.18,0.34,6.05,2.04,0,7.57,0,Active,67.19,,,verified
906,87348084,16188906,Active,51,,,,73.95,,4.49,1.7,3.4,62.19,35.35,11.24,4.91,1.38,7.75,3.56,4.19,1.35,0.69,Active,36.07,,,verified
907,87349396,12006286,Active,41,,,>,100,,29.5,1.63,6.4,39.53,16.96,0,8.41,11.74,2.11,1.43,5.58,9.47,0.69,Active,32.74,,,verified
908,89850354,5689963,Active,41,,,>,100,,9033.47,0.25,5.63,34.32,26.46,15.46,14.73,11.05,7.75,11.41,12.56,16.23,13.03,Active,28.73,,,verified
909,89850440,224560,Active,55,,,,64.74,,4.14,3.11,5.42,82.11,27.14,11.94,7.71,6.91,2.11,0,6.28,4.73,0.69,Active,29.84,,,verified
910,89850452,224618,Active,41,,,>,100,,5.49,1.77,1.36,39.08,17.64,2.81,2.8,0,0,0,2.09,0,0,Active,33.06,,,verified
911,89850803,44825342,Active,61,,,,48.49,,3.07,2.33,4.71,87.72,48.79,18.97,6.31,2.07,4.93,7.13,4.88,5.41,4.8,Active,40.25,,,verified
912,89851511,228250,Active,67,,,,35.23,,1.49,4.23,3.87,89.14,83.33,17.56,5.61,0,0,0,0,1.35,0,Active,34.72,,,verified
913,89852444,231106,Active,41,,,>,100,,5.48,2.5,2.94,46.17,13.57,0,7.01,0,0,0,2.79,3.38,0,Active,64.19,,,verified
914,89852466,231532,Active,54,,,,66.22,,12.1,1.28,8.45,57.57,54.08,9.13,14.73,1.38,6.34,2.85,11.86,4.06,1.37,Active,31.05,,,verified
915,89852552,6892904,Active,50,,,,76.45,,11.13,1.44,6.93,53.08,46.96,11.94,0,0,0,9.27,6.98,0,0,Active,45.55,,,verified
916,89852624,219799,Active,79,,,,4.63,,0.87,1.86,12.56,81.65,88.35,86.07,75.52,81.65,25.36,0.71,12.56,5.41,4.11,Active,84.92,,,verified
917,89852629,219926,Active,73,,,,20.04,,3.3,1.78,10.75,100,100,46.41,25.54,24.11,10.76,7.48,10.2,5.51,6.24,Active,42.12,,,verified
918,89852653,68106,Active,64,,,,42.74,,4.02,1.39,5.21,79.06,57.13,24.59,16.83,17.27,0,0,0,2.71,4.11,Active,73.89,,,verified
919,89852930,232926,Active,41,,,>,100,,59.79,0.71,6.13,32.89,41.93,25.43,7.71,8.98,2.11,0,2.09,0,2.74,Active,60,,,verified
920,89852932,232932,Active,45,,,,90.05,,9.63,1.83,5.61,51.38,33.93,0,0,0,0,1.43,2.09,8.79,0,Active,77.75,,,verified
921,89852966,233473,Active,41,,,>,100,,38.88,0.99,8.72,39.6,47.09,11.24,2.1,2.07,5.64,9.27,3.49,9.47,2.06,Active,66.96,,,verified
922,89853591,222091,Active,54,,,,67.96,,4.99,2.31,5.26,68.06,38.75,0,4.21,4.84,4.93,4.99,4.88,1.35,0,Active,31.45,,,verified
923,89853599,222167,Active,43,,,,96.11,,13.71,1.2,4.92,55.79,24.78,15.52,8.28,11.21,3.36,7.48,4.76,0,1.39,Active,37.48,,,verified
924,89853614,67062,Active,73,,,,19.41,,2.26,1.26,6.37,100,75.32,56.7,27.63,24.18,14.79,7.84,5.58,2.71,5.49,Active,53.65,,,verified
925,89853666,2939678,Active,78,,,,5.4,,0.55,2.01,7.11,89.52,87.45,100,76.74,65.41,20.17,6.8,0.68,0,0,Active,97.43,,,verified
926,89853732,222761,Active,73,,,,18.99,,5.48,0.92,13.16,67.73,59.31,75.81,57.43,13.82,2.82,7.13,4.88,0,6.86,Active,56.3,,,verified
927,89853758,223149,Active,68,,,,31.67,,2.82,1.59,5.46,88.19,72.22,30.26,25.54,8.49,4.71,1.36,4.08,5.51,1.39,Active,40.16,,,verified
928,89854126,245533,Active,74,,,,15.25,,3.9,0.96,12.02,79.66,60.4,64.32,64.87,38.44,0,2.04,1.36,0,0,Active,67.52,,,verified
929,89854130,257457,Active,63,,,,45.46,,2.85,3.61,5.95,80.69,64.4,2.81,0,0,0,0,0,0,0,Active,36.52,,,verified
930,89854302,18990,Active,76,,,,11.09,,1.87,1.14,8.77,81.84,80.55,72.65,67.6,29.98,7.04,9.98,11.16,1.35,9.6,Active,72.4,,,verified
931,89854315,691847,Active,70,,,,26.92,,1.66,1.71,3.93,83.92,74.35,50.85,22.08,0,0,0,0,0,0,Active,51.08,,,verified
932,89854459,262250,Active,61,,,,49.3,,7.63,1.1,7.01,57.77,64.4,30.77,14.73,4.84,4.23,0,4.88,5.41,2.06,Active,56.45,,,verified
933,89854460,20043,Active,57,,,,58.76,,12.17,1.08,8.73,55.36,62.63,20.37,9.82,6.91,7.75,4.28,9.07,7.44,3.43,Active,51.39,,,verified
934,89854532,44825466,Active,63,,,,45.37,,3.54,2.05,5.44,76.2,62.77,18.27,4.21,0,9.86,0,0,0,2.06,Active,34.43,54.45,36.95,verified
935,89854631,241217,Active,70,,,,27.38,,1.58,3.1,5.04,100,91.61,37.87,16.83,0,2.82,1.43,4.88,0,6.17,Active,30.72,,,verified
936,89854639,241388,Active,66,,,,37.39,,3.45,4.01,8.41,100,76.13,16.16,4.21,8.98,0,7.84,11.86,15.56,5.49,Active,49.68,,,verified
937,89855396,247352,Active,57,,,,59.49,,15.13,0.63,6.68,54.18,47.43,34.57,43.06,15.89,6.34,7.84,2.09,6.09,2.06,Active,48.76,,,verified
938,89855528,248894,Active,50,,,,76.75,,22.03,0.76,7.88,47.13,53.25,25.39,28.99,6.45,0,0,10.2,5.51,4.16,Active,83.37,,,verified
939,89855544,249400,Active,57,,,,58.87,,5.53,1.34,4.74,68.97,46.01,16.16,13.32,12.43,6.34,0,1.4,4.73,2.06,Active,38.88,,,verified
940,89855567,250223,Active,56,,,,60.82,,3.03,2.68,3.95,75.28,42.55,0.7,0,0,0.7,4.28,0,0,0,Active,29.16,,,verified
941,89855681,4882,Active,73,,,,18.46,,12.72,0.53,21.29,38.03,64.06,58.67,73.91,65.42,7.75,9.27,4.88,0,7.54,Active,75.56,,,verified
942,92763389,3246652,Active,74,,,,16.03,,1.29,2.75,6.48,100,100,79.6,27.98,15.2,9.86,7.13,9.07,2.71,0,Active,97.22,,,verified
943,92763732,3000387,Active,77,,,,9.25,,1.77,2.43,14.56,62.98,87.81,96.96,70.47,22.11,12.68,2.85,2.79,6.76,8.91,Active,82.48,,,verified
944,92763745,5781544,Active,56,,,,61.58,,6.04,0.89,3.44,56.98,47.3,35.34,18.23,11.74,0,4.28,0,4.06,0,Active,35.88,,,verified
945,92763776,265898,Active,78,,,,5.91,,0.64,1.36,6.2,85.12,91.2,88.63,77.84,54.44,23.95,10.69,11.86,7.44,0,Active,107.42,,,verified
946,92763827,3711067,Active,56,,,,62.36,,4.11,1.78,4.04,70.66,40.92,11.24,11.92,4.14,4.93,2.85,1.4,1.35,4.8,Active,50.69,,,verified
947,92763880,264630,Active,56,,,,62.39,,7.63,1.11,5.15,60.7,47.36,27.68,7.71,10.36,2.82,0,9.07,2.03,8.23,Active,96.99,,,verified
948,92763934,4274774,Active,73,,,,19.66,,3.01,1.29,8.45,72.42,83.26,59.86,43.62,9.67,0,8.55,2.79,0,3.43,Active,76.13,,,verified
949,92763955,261066,Active,74,,,,15.78,,5,0.74,12.69,64.19,59.48,69.33,58.25,49.99,9.41,6.8,0,0.69,4.85,Active,44.27,,,verified
950,92764009,275098,Active,55,,,,64.96,,6.09,2.72,7.44,81.83,24.43,19.67,6.31,6.22,6.34,2.85,0,0,8.23,Active,66.51,,,verified
951,92764013,276685,Active,75,,,,14.51,,5.49,0.71,14.83,59.73,62.8,61.99,71.84,51.21,13.45,3.4,1.36,4.82,0,Active,60.19,,,verified
952,92764027,6477008,Active,41,,,>,100,,269.21,0.37,9.01,34.71,,,33.87,30.6,,14.97,0.7,0,5.49,Active,31.64,,,verified
953,92764030,4985372,Active,42,,,,96.62,,4.75,1.28,1.77,50.34,30.54,17.56,4.21,0,2.82,0,0,0,0,Active,65.12,,,verified
954,92764048,297961,Active,77,,,,9.23,,1.25,1.52,8.15,82.86,88.76,77.71,71.31,37.17,4.93,5.7,5.58,7.44,0,Active,84.18,,,verified
955,92764075,265935,Active,79,,,,3.41,,0.2,3.17,5.09,97.49,92.83,100,87.93,91.56,41.28,9.98,0,0,3.43,Active,59.72,,,verified
956,92764077,97167,Active,57,,,,58.3,,23.94,0.55,9.64,64.02,57.61,25.15,19.63,15.89,21.13,22.81,18.84,9.47,0,Active,55.09,,,verified
957,92764123,313603,Active,78,,,,6.38,,0.57,1.58,5.53,100,96.94,78.83,75.52,57.41,19.02,7.13,0,3.38,2.06,Active,87.19,,,verified
958,92764125,314728,Active,78,,,,5.09,,0.43,4.82,7.84,100,91.62,88.86,92.41,73.83,7.4,2.04,8.84,10.32,8.31,Active,86.73,,,verified
959,92764137,40586,Active,79,,,,5.04,,0.32,3.1,5.36,100,100,99.87,94.51,67.22,15.5,9.98,11.86,2.71,4.8,Active,107.34,,,verified
960,92764245,381594,Active,76,,,,12.22,,1.61,1.75,8.56,92.68,72.81,86.56,54.42,22.8,0,0.71,0,0,4.8,Active,62.04,,,verified
961,92764285,267286,Active,74,,,,16.16,,4.19,1.15,13.52,63.5,73.49,86.42,44.88,14.51,4.93,5.7,6.98,1.35,0,Active,77.82,,,verified
962,92764314,267626,Active,70,,,,27.34,,3.39,1.46,7.28,70.79,80.27,50.94,20.34,5.53,2.82,2.14,0,3.38,2.06,Active,68.75,,,verified
963,92764318,6813148,Active,46,,,,88.58,,5.37,1.53,2.75,56.01,26.46,14.75,5.61,0.69,4.23,0,0,0,5.49,Active,46.21,,,verified
964,92764341,5466111,Active,63,,,,44.09,,15.19,0.75,11.69,52.17,47.7,64.71,32.96,10.36,0,3.56,4.19,0,4.8,Active,93.75,,,verified
965,92764458,400634,Active,69,,,,29.02,,24.08,0.4,18.05,34.65,53.06,55.01,66.62,62.24,18.32,18.53,12.56,0,6.17,Active,53.55,,,verified
966,92764519,406009,Active,62,,,,47.03,,4.12,1.68,5.41,69.81,59.51,29.09,0,0,0,0,0,0,0,Active,40.35,,,verified
967,92764524,9958995,Active,65,,,,38.19,,3.29,1.02,3.04,,56.32,37.45,29.52,13.13,2.11,4.99,0,2.03,0,Active,67.75,,,verified
968,92764529,269582,Active,78,,,,5.47,,0.84,2.21,11.16,98.73,100,79.74,76.71,73.57,9.86,2.14,9.07,6.76,8.91,Active,91.36,,,verified
969,92764783,377971,Active,79,,,,4.58,,0.6,3.59,11.67,71.9,94.32,90.63,87.93,78.75,17.61,4.99,6.28,0.68,5.49,Active,127.74,,,verified
970,92764784,378196,Active,78,,,,5.11,,0.2,3.69,3.5,100,100,95.59,100,67.01,14.09,4.28,6.98,3.38,0,Active,113.48,,,verified
971,92764856,392760,Active,75,,,,14.25,,3.66,0.79,10.85,62.79,72.36,67.7,58.66,44.56,8.74,9.52,5.44,0,3.46,Active,57.56,,,verified
972,92764868,404404,Active,76,,,,11.82,,3.82,1.01,13.86,,,47.82,68.32,48.91,7.4,6.8,0,0,0,Active,70.81,,,verified
973,93576581,407401,Active,71,,,,24.85,,2.56,1.23,5.49,74.96,75.93,49.81,35.41,12.43,0,0,3.49,2.03,2.74,Active,66.74,,,verified
974,93576876,70837,Active,58,,,,57.66,,10.57,1.13,8.08,66.43,50.82,18.97,11.22,15.2,4.93,7.84,9.77,14.2,5.49,Active,42.03,,,verified
975,93576898,135426831,Active,69,,,,28.29,,2.22,1.01,3.69,75.81,68.53,46.09,29.59,13.13,11.98,5.7,9.77,2.71,0,Active,47.17,,,verified
976,93576907,135403802,Active,70,,,,26.52,,0.98,4.05,3.83,100,94.18,43.42,5.61,7.6,3.52,3.56,4.88,3.38,0,Active,56.01,,,verified
977,93576952,16219298,Active,72,,,,22.42,,5.95,1.19,13.98,60.96,77.83,76.23,24.54,3.45,9.16,5.7,11.16,0,4.8,Active,42.54,,,verified
978,93576976,263058,Active,69,,,,29.95,,1.37,5.4,4.14,93.78,95.41,26.77,7.01,3.45,1.41,1.43,0,6.09,2.74,Active,34.34,,,verified
979,93576980,263521,Active,63,,,,43.42,,5.21,0.92,4.88,62.06,59.71,38.22,23.84,15.89,0.7,2.14,2.79,7.44,3.43,Active,32.79,,,verified
980,93577104,4037030,Active,73,,,,20.01,,3.71,1.02,9,97.62,73.28,48.2,32.19,20.72,17.61,17.11,13.26,0,12.34,Active,98.79,,,verified
981,93577326,274108,Active,75,,,,14.64,,1.33,1.67,5.76,82.66,86.79,77.35,43.83,14.51,6.34,5.7,2.79,0,0,Active,86.96,,,verified
982,93577431,275191,Active,68,,,,31.5,,3.24,1.22,5.39,74.99,62.31,51.41,25.54,3.74,0.67,6.12,0,4.82,0,Active,50.15,,,verified
983,99355932,276581,Active,75,,,,14.45,,3.01,1.72,13.39,74.76,80.14,72.44,63.81,0,0,0,0.7,5.41,5.49,Active,39.68,,,verified
984,99356018,278675,Active,68,,,,31.57,,2.43,1.73,4.93,96.66,65.14,37.94,15.87,13.92,6.05,0.68,4.08,0,0,Active,72.05,,,verified
985,99356021,278712,Active,62,,,,46.33,,0.98,4.31,2.23,94.5,58.76,4.92,4.91,0,0.7,0,0,3.38,0,Active,37.38,,,verified
986,99356023,278716,Active,58,,,,56.32,,1.54,4.4,2.78,94.82,35.9,8.43,0,2.07,0,2.14,1.4,0,3.43,Active,29.9,,,verified
987,99356103,280615,Active,79,,,,3.77,,0.69,1.66,11.49,80.43,83.94,80.59,85.62,81.31,42.41,9.27,9.07,2.03,3.43,Active,97.87,,,verified
988,99356182,282598,Active,77,,,,9.2,,2.67,0.79,12.42,80.63,55.51,81.15,70.89,49.81,19.72,13.54,12.56,0,6.86,Active,82.93,,,verified
989,99356243,9922,Active,69,,,,29.73,,1.27,1.86,2.83,88.52,73.57,41.82,17.94,0,5.38,4.08,1.36,0,0,Active,89.88,,,verified
990,99356291,285820,Active,56,,,,62.44,,5.77,1.45,4.85,60.96,48.04,24.59,0,0,0,0,4.19,0,0.69,Active,36.8,,,verified
991,99356339,291884,Active,70,,,,27.4,,1.42,2.36,3.91,92.33,83.8,43.28,11.22,9.67,7.04,0,2.79,0,0,Active,80.28,,,verified
992,99357639,3996428,Active,77,,,,7.79,,1.06,1.24,7.43,86.76,82.24,80.38,67.53,54.78,13.38,9.98,2.09,2.71,1.37,Active,92.81,,,verified
993,99357965,135400175,Active,61,,,,48.37,,5.42,1.54,6.52,77.04,50.21,26.98,7.01,8.98,1.41,12.83,9.07,8.12,0,Active,65.09,,,verified
994,99358214,300375,Active,73,,,,19.14,,2.72,1.18,7.46,81.92,68.4,60.86,51.48,16.64,0,0,0,0,0,Active,75.09,,,verified
995,99358454,135452425,Active,70,,,,26.69,,2.69,1.6,6.21,93.78,75.52,42.86,20.34,13.13,11.98,6.42,3.49,1.35,10.97,Active,28.57,,,verified
996,99358477,86926,Active,50,,,,76.89,,30.42,0.71,10.24,42.46,45.94,44.97,34.08,0,1.41,0,0,3.38,4.11,Active,69.7,,,verified
997,99358709,319935,Active,41,,,>,100,,286.38,0.5,11.21,33.08,27.82,23.89,44.6,0,4.93,0,4.88,3.38,0,Active,42.29,,,verified
998,99358710,319938,Active,41,,,>,100,,112.62,0.53,6.31,36.41,27.82,35.34,23.84,11.74,2.11,0,6.28,8.12,0,Active,41.14,,,verified
999,99360521,309224,Active,57,,,,59.43,,5.94,1.23,4.67,65.26,47.36,20.37,17.53,0,8.45,3.56,5.58,0,4.11,Active,40.53,,,verified
1000,99360588,315063,Active,76,,,,12.49,,2.84,1.15,11.89,71.77,73.62,75.32,63.39,37.17,0,0,0,0.68,4.8,Active,95.46,,,verified
1001,99360648,316120,Active,67,,,,34.57,,2.51,1.29,3.91,78.61,60.26,42.86,23.14,3.45,4.23,0,4.88,6.76,1.37,Active,35.08,,,verified
1002,99360677,317587,Active,41,,,>,100,,51.37,0.66,8.55,59.2,30.54,16.86,8.41,17.27,14.79,13.54,7.67,6.09,8.91,Active,72.29,,,verified
1003,99360875,323999,Active,55,,,,64.91,,5.94,1.48,4.81,67.6,37.66,21.08,4.21,8.98,6.34,0,4.19,8.12,3.43,Active,33.35,,,verified
1004,99361001,327583,Active,63,,,,45.44,,3.35,1.32,3.9,70.27,53.4,38.71,10.52,2.76,0,0.71,2.09,1.35,0.69,Active,85.68,,,verified
1005,99454607,5894846,Active,58,,,,58.09,,8.94,1.86,9.88,82.04,34.27,14.05,18.23,13.13,13.38,11.41,4.88,0.68,0,Active,87.1,,,verified
1006,99495055,5733813,Active,41,,,>,100,,77.72,0.65,6.28,38.62,26.46,26.21,28.47,4.84,0,0.71,0.7,0,0,Active,48.35,,,verified
1007,103050345,5129136,Active,45,,,,89.34,,2.41,2.95,2.17,58.55,14.25,4.22,4.91,3.45,0,0,0,0,0,Active,52.53,,,verified
1008,103060228,135608124,Active,69,,,,30.38,,5.39,1.38,10.03,97.75,66.02,29.09,26.51,15.89,9.86,16.4,6.98,4.06,7.54,Active,68.43,,,verified
1009,103073997,4848446,Active,63,,,,44.11,,3.42,2.43,5.91,82.86,63.72,11.94,11.22,6.91,4.23,6.42,1.4,2.71,0,Active,81.48,,,verified
1010,103074351,1250047,Active,66,,,,35.76,,2.45,1.86,4.54,83.19,70.52,29.69,12.42,7.81,0,8.16,2.04,4.13,1.39,Active,48.9,,,verified
1011,103074372,2267011,Active,66,,,,36.75,,1.09,1.74,1.9,83.12,64.65,33.29,14.49,1.7,0,0.68,0,2.06,2.77,Active,41.16,,,verified
1012,103159569,46497749,Active,77,,,,7.99,,0.56,4.17,6.49,88.92,100,95.19,87.58,25.84,4.23,0,11.16,8.12,1.37,Active,95.66,,,verified
1013,103163603,9586236,Active,68,,,,30.64,,1.38,5.13,4.15,100,94.05,24.94,11.92,0,3.52,1.43,0,0,0,Active,90.89,,,verified
